,real_time,WT_Runcode,bYawCCW_RemCOM,bYawCW_RemCOM,iCableTwistTotal,iGenPower,iGenSpeed,iNacellePositionTotal,iTurbineOperationMode,iVaneDiiection,iWindSpeed,iYPLevel
0,2017-11-16 11:48:16,3,0,0,128,157,1041,-17,20,-2.36,3.76,0
1,2017-11-16 11:48:17,3,0,0,128,155,1040,-17,20,-1.46,3.44,0
2,2017-11-16 11:48:18,3,0,0,128,155,1040,-17,20,-8.1,3.74,0
3,2017-11-16 11:48:19,3,0,0,128,153,1040,-17,20,7.77,3.77,0
4,2017-11-16 11:48:20,3,0,0,128,155,1040,-17,20,-2.75,3.69,0
5,2017-11-16 11:48:21,3,0,0,128,155,1040,-17,20,-11.15,3.83,0
6,2017-11-16 11:48:22,3,0,0,128,156,1041,-17,20,-1.55,3.89,0
7,2017-11-16 11:48:23,3,0,0,128,154,1040,-17,20,-0.21,3.73,0
8,2017-11-16 11:48:24,3,0,0,128,159,1042,-17,20,10.37,3.84,0
9,2017-11-16 11:48:25,3,0,0,128,158,1042,-17,20,-3.77,4.08,0
10,2017-11-16 11:48:26,3,0,0,128,162,1043,-17,20,-12.64,3.74,0
11,2017-11-16 11:48:27,3,0,0,128,161,1043,-17,20,-1.62,4.22,0
12,2017-11-16 11:48:28,3,0,0,128,164,1043,-17,20,-2.92,3.98,0
13,2017-11-16 11:48:29,3,0,0,128,167,1045,-17,20,-10.65,3.39,0
14,2017-11-16 11:48:30,3,0,0,128,167,1043,-17,20,-4.73,3.69,0
15,2017-11-16 11:48:31,3,0,0,128,169,1045,-17,20,-2.64,3.54,0
16,2017-11-16 11:48:32,3,0,0,128,168,1045,-17,20,-1.23,4.03,0
17,2017-11-16 11:48:33,3,0,0,128,168,1043,-17,20,-4.46,3.99,0
18,2017-11-16 11:48:34,3,0,0,128,168,1045,-17,20,7.01,4.54,0
19,2017-11-16 11:48:35,3,0,0,128,167,1044,-17,20,-0.84,4.17,0
20,2017-11-16 11:48:36,3,0,0,128,166,1044,-17,20,21.1,4.31,0
21,2017-11-16 11:48:37,3,0,0,128,165,1044,-17,20,9.89,4.13,0
22,2017-11-16 11:48:38,3,0,0,128,166,1043,-17,20,5.36,3.69,0
23,2017-11-16 11:48:39,3,0,0,128,164,1043,-17,20,20.34,3.59,0
24,2017-11-16 11:48:40,3,0,0,128,165,1043,-17,20,4.63,3.54,0
25,2017-11-16 11:48:41,3,0,0,128,161,1042,-17,20,2.55,3.04,0
26,2017-11-16 11:48:42,3,0,0,128,162,1042,-17,20,5.43,3.44,0
27,2017-11-16 11:48:43,3,0,0,128,161,1041,-17,20,-28.92,3.58,0
28,2017-11-16 11:48:44,3,0,0,128,159,1041,-17,20,-18.37,3.69,0
29,2017-11-16 11:48:45,3,0,0,128,157,1041,-17,20,-5.36,3.44,0
30,2017-11-16 11:48:46,3,0,0,128,156,1040,-17,20,-1.33,3.45,0
31,2017-11-16 11:48:47,3,0,0,128,158,1041,-17,20,2.27,3.79,0
32,2017-11-16 11:48:48,3,0,0,128,154,1040,-17,20,-2.56,3.69,0
33,2017-11-16 11:48:49,3,0,0,128,156,1039,-17,20,11.21,3.83,0
34,2017-11-16 11:48:50,3,0,0,128,151,1039,-17,20,4.23,3.74,0
35,2017-11-16 11:48:51,3,0,0,128,151,1038,-17,20,9.9,3.59,0
36,2017-11-16 11:48:52,3,0,0,128,146,1038,-17,20,13.5,3.79,0
37,2017-11-16 11:48:53,3,0,0,128,148,1037,-17,20,5.75,3.44,0
38,2017-11-16 11:48:54,3,0,0,128,145,1036,-17,20,8.87,3.54,0
39,2017-11-16 11:48:55,3,0,0,128,143,1036,-17,20,13.67,3.55,0
40,2017-11-16 11:48:56,3,0,0,128,140,1035,-17,20,15.42,3.29,0
41,2017-11-16 11:48:57,3,0,0,128,142,1034,-17,20,19.46,3.41,0
42,2017-11-16 11:48:58,3,0,0,128,136,1033,-17,20,21.08,3.19,0
43,2017-11-16 11:48:59,3,0,0,128,135,1031,-17,20,16.74,3.14,0
44,2017-11-16 11:49:00,3,0,0,128,134,1031,-17,20,8.15,2.94,0
45,2017-11-16 11:49:01,3,0,0,128,128,1029,-17,20,-10.44,3.14,0
46,2017-11-16 11:49:02,3,0,0,128,124,1029,-17,20,10.3,3.29,0
47,2017-11-16 11:49:03,3,0,0,128,124,1027,-17,20,-12.25,3.14,0
48,2017-11-16 11:49:04,3,0,0,128,123,1025,-17,20,9.05,3.59,0
49,2017-11-16 11:49:05,3,0,0,128,118,1025,-17,20,9.05,3.64,0
50,2017-11-16 11:49:06,3,0,0,128,112,1023,-17,20,-4.26,3.59,0
51,2017-11-16 11:49:07,3,0,0,128,117,1023,-17,20,8.05,3.84,0
52,2017-11-16 11:49:08,3,0,0,128,110,1022,-17,20,8.56,3.69,0
53,2017-11-16 11:49:09,3,0,0,128,103,1021,-17,20,-21.5,3.36,0
54,2017-11-16 11:49:10,3,0,0,128,103,1020,-17,20,6.44,3.32,0
55,2017-11-16 11:49:11,3,0,0,128,106,1020,-17,20,-6.01,3.19,0
56,2017-11-16 11:49:12,3,0,0,128,106,1020,-17,20,3.47,3.04,0
57,2017-11-16 11:49:13,3,0,0,128,101,1019,-17,20,1.71,2.65,0
58,2017-11-16 11:49:14,3,0,0,128,101,1019,-17,20,-9.13,2.55,0
59,2017-11-16 11:49:15,3,0,0,128,105,1020,-17,20,-27.03,2.69,0
60,2017-11-16 11:49:16,3,0,0,128,107,1020,-17,20,-15.56,2.89,0
61,2017-11-16 11:49:17,3,0,0,128,107,1021,-17,20,-11.06,3.14,0
62,2017-11-16 11:49:18,3,0,0,128,107,1022,-17,20,-8.99,3.04,0
63,2017-11-16 11:49:19,3,0,0,128,107,1023,-17,20,-13.12,3.05,0
64,2017-11-16 11:49:20,3,0,0,128,116,1024,-17,20,-15.51,2.89,0
65,2017-11-16 11:49:21,3,0,0,128,118,1024,-17,20,5.46,2.89,0
66,2017-11-16 11:49:22,3,0,0,128,116,1027,-17,20,-12.5,2.79,0
67,2017-11-16 11:49:23,3,0,0,128,122,1027,-17,20,-14.22,3.04,0
68,2017-11-16 11:49:24,3,0,0,128,122,1027,-17,20,-21.74,2.94,0
69,2017-11-16 11:49:25,3,0,0,128,123,1029,-17,20,-11.22,2.79,0
70,2017-11-16 11:49:26,3,0,0,128,126,1029,-17,20,-24.05,2.6,0
71,2017-11-16 11:49:27,3,0,0,128,126,1029,-17,20,-18.32,2.49,0
72,2017-11-16 11:49:28,3,0,0,128,129,1029,-17,20,-4.09,2.6,0
73,2017-11-16 11:49:29,3,0,0,128,126,1029,-17,20,-10.43,2.94,0
74,2017-11-16 11:49:30,3,0,0,128,130,1031,-17,20,-7.82,3.34,0
75,2017-11-16 11:49:31,3,0,0,128,129,1031,-17,20,-1.22,3.64,0
76,2017-11-16 11:49:32,3,1,0,128,129,1033,-17,20,20.79,3.72,0
77,2017-11-16 11:49:33,3,1,0,128,137,1034,-17,20,-3.74,3.98,0
78,2017-11-16 11:49:34,3,1,0,127,136,1033,-18,20,-5.36,3.58,0
79,2017-11-16 11:49:35,3,1,0,127,142,1037,-18,20,0.54,3.34,0
80,2017-11-16 11:49:36,3,1,0,127,143,1035,-18,20,-1.66,3.69,0
81,2017-11-16 11:49:37,3,1,0,126,146,1038,-19,20,13.74,4.12,0
82,2017-11-16 11:49:38,3,1,0,126,152,1039,-19,20,0.76,4.07,0
83,2017-11-16 11:49:39,3,1,0,126,154,1040,-19,20,-0.12,3.64,0
84,2017-11-16 11:49:40,3,1,0,125,159,1042,-20,20,16.53,3.42,0
85,2017-11-16 11:49:41,3,1,0,125,159,1041,-20,20,9.26,3.69,0
86,2017-11-16 11:49:42,3,1,0,125,161,1043,-20,20,18.86,4.78,0
87,2017-11-16 11:49:43,3,1,0,125,156,1041,-20,20,9.86,4.72,0
88,2017-11-16 11:49:44,3,1,0,124,159,1041,-21,20,20.18,5.0,0
89,2017-11-16 11:49:45,3,0,0,124,159,1041,-21,20,16.44,4.91,0
90,2017-11-16 11:49:46,3,0,0,124,158,1041,-21,20,-0.25,4.46,0
91,2017-11-16 11:49:47,3,0,0,124,155,1041,-21,20,18.87,4.73,0
92,2017-11-16 11:49:48,3,0,0,124,154,1040,-21,20,11.74,4.42,0
93,2017-11-16 11:49:49,3,0,0,124,157,1040,-21,20,16.82,4.35,0
94,2017-11-16 11:49:50,3,0,0,124,155,1039,-21,20,17.15,4.78,0
95,2017-11-16 11:49:51,3,0,0,124,152,1038,-21,20,16.37,4.41,0
96,2017-11-16 11:49:52,3,0,0,124,151,1038,-21,20,22.28,4.45,0
97,2017-11-16 11:49:53,3,0,0,124,147,1037,-21,20,5.95,4.18,0
98,2017-11-16 11:49:54,3,0,0,124,145,1036,-21,20,-0.89,3.64,0
99,2017-11-16 11:49:55,3,0,0,124,143,1035,-21,20,12.66,3.4,0
100,2017-11-16 11:49:56,3,0,0,124,141,1034,-21,20,1.55,3.74,0
101,2017-11-16 11:49:57,3,0,0,124,140,1033,-21,20,-10.91,3.49,0
102,2017-11-16 11:49:58,3,0,0,124,135,1032,-21,20,3.85,3.64,0
103,2017-11-16 11:49:59,3,0,0,124,133,1031,-21,20,-4.19,3.59,0
104,2017-11-16 11:50:00,3,0,0,124,131,1030,-21,20,-0.9,3.54,0
105,2017-11-16 11:50:01,3,0,0,124,128,1029,-21,20,0.49,3.44,0
106,2017-11-16 11:50:02,3,0,0,124,125,1027,-21,20,8.33,3.59,0
107,2017-11-16 11:50:03,3,0,0,124,119,1026,-21,20,10.13,4.03,0
108,2017-11-16 11:50:04,3,0,0,124,114,1025,-21,20,11.55,3.93,0
109,2017-11-16 11:50:05,3,0,0,124,119,1024,-21,20,10.52,4.12,0
110,2017-11-16 11:50:06,3,0,0,124,113,1023,-21,20,-8.64,3.93,0
111,2017-11-16 11:50:07,3,0,0,124,110,1023,-21,20,-9.33,3.59,0
112,2017-11-16 11:50:08,3,0,0,124,105,1022,-21,20,3.08,3.64,0
113,2017-11-16 11:50:09,3,0,0,124,107,1021,-21,20,0.06,3.79,0
114,2017-11-16 11:50:10,3,0,0,124,106,1021,-21,20,-7.95,3.49,0
115,2017-11-16 11:50:11,3,0,0,124,105,1020,-21,20,4.46,3.44,0
116,2017-11-16 11:50:12,3,0,0,124,107,1020,-21,20,-8.04,3.54,0
117,2017-11-16 11:50:13,3,0,0,124,102,1019,-21,20,6.27,3.74,0
118,2017-11-16 11:50:14,3,0,0,124,99,1019,-21,20,-15.6,3.59,0
119,2017-11-16 11:50:15,3,0,0,124,97,1018,-21,20,2.69,3.54,0
120,2017-11-16 11:50:16,3,0,0,124,96,1020,-21,20,-12.12,3.49,0
121,2017-11-16 11:50:17,3,0,0,124,95,1018,-21,20,0.54,3.34,0
122,2017-11-16 11:50:18,3,0,0,124,102,1019,-21,20,7.93,3.34,0
123,2017-11-16 11:50:19,3,0,0,124,95,1018,-21,20,-13.24,3.69,0
124,2017-11-16 11:50:20,3,0,0,124,99,1019,-21,20,1.58,3.44,0
125,2017-11-16 11:50:21,3,0,0,124,95,1018,-21,20,2.85,2.99,0
126,2017-11-16 11:50:22,3,0,0,124,95,1017,-21,20,4.78,3.09,0
127,2017-11-16 11:50:23,3,0,0,124,98,1017,-21,20,16.42,3.63,0
128,2017-11-16 11:50:24,3,0,0,124,92,1016,-21,20,1.15,3.64,0
129,2017-11-16 11:50:25,3,0,0,124,96,1017,-21,20,3.53,3.49,0
130,2017-11-16 11:50:26,3,0,0,124,94,1017,-21,20,0.6,3.93,0
131,2017-11-16 11:50:27,3,0,0,124,88,1014,-21,20,-9.6,3.39,0
132,2017-11-16 11:50:28,3,0,0,124,91,1015,-21,20,0.35,3.14,0
133,2017-11-16 11:50:29,3,0,0,124,90,1015,-21,20,10.73,3.34,0
134,2017-11-16 11:50:30,3,0,0,124,93,1015,-21,20,-3.16,3.24,0
135,2017-11-16 11:50:31,3,0,0,124,89,1016,-21,20,7.76,3.46,0
136,2017-11-16 11:50:32,3,0,0,124,92,1016,-21,20,1.56,3.39,0
137,2017-11-16 11:50:33,3,0,0,124,90,1016,-21,20,26.34,3.6,0
138,2017-11-16 11:50:34,3,0,0,124,97,1017,-21,20,-22.36,3.83,0
139,2017-11-16 11:50:35,3,0,0,124,98,1017,-21,20,-9.32,3.34,0
140,2017-11-16 11:50:36,3,0,0,124,95,1018,-21,20,-3.28,3.32,0
141,2017-11-16 11:50:37,3,0,0,124,100,1018,-21,20,-11.85,3.79,0
142,2017-11-16 11:50:38,3,0,0,124,96,1019,-21,20,-10.92,4.03,0
