,real_time,giWecRunContion,grGenPowerForProcess,grGenSpeedForProcess,grNacelleFanRunningHours,grTemp1GearOil_1sec,grTempGearBearDE_1sec,grTempGearBearNDE_1sec,grTempGearOilHeaterSystem_1sec,grTempNacelle_1sec,grWindSpeed
0,2017-11-17 09:36:00,3,604.7,1703.3,0.0,70.82,75.4,79.52,-1.0,0.6,9.24
1,2017-11-17 09:36:01,3,603.3,1703.4,0.0,70.8,75.4,79.5,-1.0,0.6,10.7
2,2017-11-17 09:36:02,3,602.4,1704.5,0.0,70.82,75.4,79.57,-1.0,0.6,9.12
3,2017-11-17 09:36:03,3,602.9,1706.8,0.0,70.8,75.4,79.52,-1.0,0.6,8.53
4,2017-11-17 09:36:04,3,605.5,1712.2,0.0,70.8,75.4,79.5,-1.0,0.6,10.06
5,2017-11-17 09:36:05,3,602.5,1713.9,0.0,70.8,75.4,79.5,-1.0,0.6,9.81
6,2017-11-17 09:36:06,3,587.0,1711.4,0.0,70.8,75.4,79.5,-1.0,0.6,10.08
7,2017-11-17 09:36:07,3,555.1,1700.9,0.0,70.8,75.4,79.5,-1.0,0.6,10.95
8,2017-11-17 09:36:08,3,497.2,1643.6,0.0,70.8,75.4,79.52,-1.0,0.6,9.17
9,2017-11-17 09:36:09,3,476.6,1615.7,0.0,70.8,75.4,79.51,-1.0,0.6,9.99
10,2017-11-17 09:36:10,3,466.3,1593.6,0.0,70.8,75.4,79.55,-1.0,0.6,9.75
11,2017-11-17 09:36:11,3,462.2,1572.3,0.0,70.8,75.4,79.55,-1.0,0.6,10.06
12,2017-11-17 09:36:12,3,470.4,1550.7,0.0,70.8,75.4,79.5,-1.0,0.6,11.47
13,2017-11-17 09:36:13,3,473.8,1559.9,0.0,70.8,75.4,79.5,-1.0,0.6,11.61
14,2017-11-17 09:36:14,3,474.1,1567.2,0.0,70.8,75.4,79.5,-1.0,0.6,10.93
15,2017-11-17 09:36:15,3,475.8,1574.1,0.0,70.8,75.4,79.5,-1.0,0.6,10.12
16,2017-11-17 09:36:16,3,472.8,1583.6,0.0,70.8,75.4,79.5,-1.0,0.6,12.13
17,2017-11-17 09:36:17,3,471.5,1580.4,0.0,70.8,75.4,79.5,-1.0,0.6,11.65
18,2017-11-17 09:36:18,3,469.8,1575.0,0.0,70.8,75.4,79.5,-1.0,0.6,10.03
19,2017-11-17 09:36:20,3,473.7,1582.7,0.0,70.8,75.4,79.5,-1.0,0.6,9.81
20,2017-11-17 09:36:21,3,488.1,1579.4,0.0,70.8,75.4,79.5,-1.0,0.6,10.99
21,2017-11-17 09:36:22,3,516.9,1593.8,0.0,70.8,75.4,79.5,-1.0,0.6,11.22
22,2017-11-17 09:36:23,3,525.1,1621.2,0.0,70.8,75.4,79.5,-1.0,0.6,12.34
23,2017-11-17 09:36:24,3,523.4,1643.0,0.0,70.8,75.4,79.5,-1.0,0.6,12.14
24,2017-11-17 09:36:25,3,516.2,1653.7,0.0,70.8,75.4,79.5,-1.0,0.6,11.87
25,2017-11-17 09:36:26,3,513.2,1635.1,0.0,70.8,75.4,79.5,-1.0,0.6,10.19
26,2017-11-17 09:36:27,3,513.0,1632.2,0.0,70.8,75.4,79.5,-1.0,0.6,10.7
27,2017-11-17 09:36:28,3,513.7,1626.0,0.0,70.8,75.4,79.5,-1.0,0.6,10.89
28,2017-11-17 09:36:29,3,518.9,1628.1,0.0,70.8,75.37,79.5,-1.0,0.6,11.02
29,2017-11-17 09:36:30,3,514.7,1628.5,0.0,70.8,75.4,79.5,-1.0,0.6,10.34
30,2017-11-17 09:36:31,3,515.7,1624.3,0.0,70.8,75.37,79.5,-1.0,0.6,10.8
31,2017-11-17 09:36:32,3,520.2,1626.3,0.0,70.8,75.35,79.5,-1.0,0.6,9.55
32,2017-11-17 09:36:33,3,515.1,1627.3,0.0,70.8,75.37,79.5,-1.0,0.6,9.79
