,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-16 14:41:52,3,0.0,-0.03,67.5,1029.3,4.82
1,2017-11-16 14:41:53,3,0.0,0.01,70.4,1031.0,4.93
2,2017-11-16 14:41:54,3,0.0,-0.02,71.6,1031.7,4.7
3,2017-11-16 14:41:55,3,0.0,0.01,73.6,1032.4,4.49
4,2017-11-16 14:41:56,3,0.0,-0.09,72.4,1031.3,5.1
5,2017-11-16 14:41:57,3,0.0,0.0,75.4,1033.7,5.16
6,2017-11-16 14:41:58,3,0.0,0.02,74.3,1033.2,4.81
7,2017-11-16 14:41:59,3,0.0,0.01,71.9,1033.3,4.48
8,2017-11-16 14:42:01,3,0.0,0.05,75.4,1034.5,3.93
9,2017-11-16 14:42:02,3,0.0,-0.01,78.9,1034.8,3.97
10,2017-11-16 14:42:03,3,0.0,0.0,74.4,1034.9,4.07
11,2017-11-16 14:42:04,3,0.0,0.07,77.8,1035.2,4.81
12,2017-11-16 14:42:05,3,0.0,-0.02,77.7,1036.4,4.7
13,2017-11-16 14:42:06,3,0.0,0.05,77.3,1036.9,4.88
14,2017-11-16 14:42:07,3,0.0,0.02,78.4,1036.1,4.56
15,2017-11-16 14:42:08,3,0.0,-0.05,78.6,1033.5,5.15
16,2017-11-16 14:42:09,3,0.0,0.02,74.6,1034.5,5.26
17,2017-11-16 14:42:10,3,0.0,-0.01,78.0,1035.2,4.96
18,2017-11-16 14:42:11,3,0.0,-0.07,75.8,1033.1,4.63
19,2017-11-16 14:42:12,3,0.0,-0.02,73.0,1031.4,4.52
20,2017-11-16 14:42:13,3,0.0,-0.07,70.1,1030.8,4.55
21,2017-11-16 14:42:14,3,0.0,0.02,67.9,1029.3,4.73
22,2017-11-16 14:42:15,3,0.0,0.0,68.9,1027.9,4.73
23,2017-11-16 14:42:16,3,0.0,-0.03,70.5,1027.5,4.79
24,2017-11-16 14:42:17,3,0.0,0.02,67.1,1027.9,4.84
25,2017-11-16 14:42:18,3,0.0,-0.02,63.8,1026.3,4.9
26,2017-11-16 14:42:19,3,0.0,-0.02,65.9,1025.2,4.55
27,2017-11-16 14:42:20,3,0.0,0.0,62.7,1025.4,4.2
28,2017-11-16 14:42:21,3,0.0,0.0,60.8,1024.0,3.87
29,2017-11-16 14:42:22,3,0.0,-0.02,60.3,1024.4,3.78
30,2017-11-16 14:42:23,3,0.0,-0.07,61.5,1024.7,3.41
31,2017-11-16 14:42:24,3,0.0,0.02,62.6,1023.2,3.54
32,2017-11-16 14:42:25,3,0.0,-0.06,57.9,1022.1,3.24
33,2017-11-16 14:42:26,3,0.0,-0.03,60.5,1021.4,3.54
34,2017-11-16 14:42:27,3,0.0,0.0,54.4,1020.0,3.79
35,2017-11-16 14:42:28,3,0.0,0.0,55.9,1019.3,4.13
36,2017-11-16 14:42:29,3,0.0,-0.01,54.4,1019.5,4.48
37,2017-11-16 14:42:30,3,0.0,0.03,52.3,1018.5,4.13
38,2017-11-16 14:42:31,3,0.0,0.01,51.4,1017.3,4.3
39,2017-11-16 14:42:32,3,0.0,-0.01,50.8,1016.2,4.55
40,2017-11-16 14:42:33,3,0.0,0.01,49.7,1015.9,4.19
41,2017-11-16 14:42:34,3,0.0,-0.09,50.9,1014.8,3.64
42,2017-11-16 14:42:35,3,0.0,0.0,48.4,1014.4,3.79
43,2017-11-16 14:42:36,3,0.0,0.02,50.3,1013.5,3.93
44,2017-11-16 14:42:37,3,0.0,-0.06,46.3,1012.1,3.78
45,2017-11-16 14:42:38,3,0.0,-0.06,44.1,1010.9,3.98
46,2017-11-16 14:42:39,3,0.0,0.01,41.3,1008.5,3.86
47,2017-11-16 14:42:40,3,0.0,-0.02,39.0,1006.6,3.89
48,2017-11-16 14:42:41,3,0.0,-0.03,36.5,1006.1,4.2
49,2017-11-16 14:42:42,3,0.0,-0.01,35.2,1005.9,4.6
50,2017-11-16 14:42:43,3,0.0,0.0,36.3,1003.0,4.3
51,2017-11-16 14:42:44,3,0.0,-0.09,30.3,1001.6,4.52
52,2017-11-16 14:42:45,3,0.0,0.02,31.3,999.8,5.12
53,2017-11-16 14:42:46,3,0.0,-0.03,27.8,998.7,5.36
54,2017-11-16 14:42:47,3,0.0,-0.06,23.6,997.9,5.21
55,2017-11-16 14:42:48,3,0.0,-0.02,22.9,997.8,5.19
56,2017-11-16 14:42:49,3,0.0,0.0,26.5,996.4,5.19
57,2017-11-16 14:42:50,3,0.0,-0.09,21.2,995.7,5.23
58,2017-11-16 14:42:51,3,0.0,0.07,20.3,992.5,5.26
59,2017-11-16 14:42:52,3,0.0,0.01,19.6,993.1,5.01
60,2017-11-16 14:42:53,3,0.0,-0.07,19.8,992.6,4.71
61,2017-11-16 14:42:54,3,0.0,0.07,17.0,992.3,4.29
62,2017-11-16 14:42:55,3,0.0,0.0,14.3,992.2,3.87
63,2017-11-16 14:42:56,3,0.0,-0.03,17.3,990.1,3.96
64,2017-11-16 14:42:57,3,0.0,0.05,11.9,989.7,4.19
65,2017-11-16 14:42:58,3,0.0,0.01,12.8,988.1,4.3
66,2017-11-16 14:42:59,3,0.0,-0.03,14.0,987.4,4.52
67,2017-11-16 14:43:00,3,0.0,0.02,12.0,987.1,4.2
68,2017-11-16 14:43:01,3,0.0,-0.02,10.1,986.7,4.07
69,2017-11-16 14:43:02,3,0.0,0.0,9.1,985.1,3.71
70,2017-11-16 14:43:03,2,0.0,-0.01,-1.5,986.3,3.38
71,2017-11-16 14:43:04,2,0.0,0.0,0.0,985.8,2.79
72,2017-11-16 14:43:05,2,0.0,0.03,0.0,987.6,2.54
