,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-16 14:57:09,6,0.0,0.0,0.0,13.7,5.0
1,2017-11-16 14:57:10,6,0.0,0.0,0.0,12.9,4.78
2,2017-11-16 14:57:11,6,0.0,0.0,0.0,12.7,4.64
3,2017-11-16 14:57:12,6,0.0,-0.02,0.0,12.9,4.45
4,2017-11-16 14:57:13,6,0.0,0.0,0.0,12.4,4.16
5,2017-11-16 14:57:14,6,0.0,-0.01,0.0,12.3,3.89
6,2017-11-16 14:57:15,6,0.0,0.0,0.0,12.1,3.76
7,2017-11-16 14:57:16,6,0.0,0.0,0.0,11.7,3.76
8,2017-11-16 14:57:17,6,0.0,-0.02,0.0,11.4,3.93
9,2017-11-16 14:57:18,6,0.0,0.0,0.0,11.7,3.78
10,2017-11-16 14:57:19,6,0.0,-0.01,0.0,11.6,3.86
11,2017-11-16 14:57:20,6,0.0,-0.02,0.0,11.0,3.87
12,2017-11-16 14:57:21,6,0.0,-0.02,0.0,9.4,4.23
13,2017-11-16 14:57:22,6,0.0,-0.01,0.0,8.5,4.67
14,2017-11-16 14:57:23,6,0.0,-0.03,0.0,7.7,4.78
15,2017-11-16 14:57:24,6,0.0,-0.02,0.0,6.9,4.68
16,2017-11-16 14:57:25,6,0.0,-0.01,0.0,5.9,4.31
17,2017-11-16 14:57:26,6,0.0,-0.01,0.0,4.9,3.59
18,2017-11-16 14:57:27,6,0.0,0.0,0.0,4.7,3.13
19,2017-11-16 14:57:28,6,0.0,-0.02,0.0,4.0,3.02
20,2017-11-16 14:57:29,6,0.0,-0.02,0.0,3.2,2.91
21,2017-11-16 14:57:30,6,0.0,0.0,0.0,1.9,2.89
22,2017-11-16 14:57:31,6,0.0,0.0,0.0,1.3,3.06
23,2017-11-16 14:57:32,6,0.0,-0.01,0.0,0.9,3.2
24,2017-11-16 14:57:33,6,0.0,-0.02,0.0,0.5,2.9
25,2017-11-16 14:57:34,6,0.0,-0.01,0.0,0.7,2.75
26,2017-11-16 14:57:35,6,0.0,0.0,0.0,0.8,2.51
27,2017-11-16 14:57:36,6,0.0,-0.01,0.0,1.0,2.2
28,2017-11-16 14:57:37,6,0.0,-0.01,0.0,1.0,1.84
29,2017-11-16 14:57:38,6,0.0,0.01,0.0,1.2,1.62
30,2017-11-16 14:57:39,6,0.0,-0.01,0.0,1.1,1.8
31,2017-11-16 14:57:40,6,0.0,-0.05,0.0,1.1,1.91
