,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-18 00:30:07,8,0.0,-0.01,0.0,23.1,11.28
1,2017-11-18 00:30:08,8,0.0,0.0,0.0,25.4,11.0
2,2017-11-18 00:30:09,8,0.0,-0.02,0.0,26.5,11.37
3,2017-11-18 00:30:10,8,0.0,-0.01,0.0,25.4,11.28
4,2017-11-18 00:41:10,3,0.0,-0.09,950.8,1699.9,11.36
5,2017-11-18 00:41:11,3,0.0,0.02,942.9,1694.2,11.61
6,2017-11-18 00:41:12,3,0.0,0.11,949.1,1692.9,11.07
7,2017-11-18 00:41:13,3,0.0,0.35,949.2,1694.1,11.2
8,2017-11-18 00:41:14,3,0.0,-0.09,942.7,1697.8,11.85
9,2017-11-18 00:52:15,3,0.0,-0.07,790.4,1697.6,11.98
10,2017-11-18 00:52:16,3,0.0,-0.08,791.8,1694.2,12.75
11,2017-11-18 00:52:17,3,0.0,0.09,789.1,1691.7,12.12
12,2017-11-18 00:52:18,3,0.0,0.02,787.5,1687.7,12.36
13,2017-11-18 00:52:19,3,0.0,0.03,793.1,1683.0,12.72
14,2017-11-18 01:03:19,3,0.0,0.0,582.6,1652.5,11.68
15,2017-11-18 01:03:20,3,0.0,-0.06,578.5,1657.1,10.74
16,2017-11-18 01:03:21,3,0.0,0.14,556.9,1650.4,10.67
17,2017-11-18 01:03:22,3,0.0,-0.25,540.5,1640.1,10.11
18,2017-11-18 01:03:23,3,0.0,0.06,506.1,1605.3,11.15
19,2017-11-18 01:14:24,3,0.0,0.05,345.9,1376.6,11.54
20,2017-11-18 01:14:25,3,0.0,0.08,343.7,1376.8,11.0
21,2017-11-18 01:14:26,3,0.0,0.05,344.3,1373.4,10.15
22,2017-11-18 01:14:27,3,0.0,-0.07,345.1,1367.7,10.12
23,2017-11-18 01:14:28,3,0.0,0.08,343.3,1368.4,10.22
24,2017-11-18 01:25:30,3,0.0,0.03,287.4,1309.5,10.03
25,2017-11-18 01:25:31,3,0.0,0.01,286.7,1313.3,9.86
26,2017-11-18 01:25:32,3,0.0,0.09,286.9,1315.3,10.63
27,2017-11-18 01:25:33,3,0.0,-0.03,288.0,1315.0,10.39
28,2017-11-18 01:25:34,3,0.0,-0.05,283.9,1298.8,10.01
29,2017-11-18 01:36:35,3,0.0,0.11,166.9,1119.5,10.4
30,2017-11-18 01:36:36,3,0.0,0.08,166.3,1102.8,10.47
31,2017-11-18 01:36:37,3,0.0,0.0,165.3,1089.3,10.39
32,2017-11-18 01:36:38,3,0.0,0.0,169.8,1081.2,9.63
33,2017-11-18 01:36:39,3,0.0,0.11,170.0,1067.0,10.29
34,2017-11-18 01:47:40,3,0.0,0.02,361.3,1388.9,8.78
35,2017-11-18 01:47:42,3,0.0,0.07,360.1,1391.0,8.85
36,2017-11-18 01:47:43,3,0.0,0.14,361.6,1396.7,7.97
37,2017-11-18 01:58:44,3,0.0,-0.07,290.2,1266.0,8.8
38,2017-11-18 01:58:45,3,0.0,-0.15,288.7,1269.2,8.56
39,2017-11-18 01:58:46,3,0.0,-0.2,291.1,1277.6,9.11
40,2017-11-18 01:58:47,3,0.0,-0.06,293.1,1281.5,8.78
41,2017-11-18 02:09:48,3,0.0,-0.06,302.9,1305.5,7.66
42,2017-11-18 02:09:49,3,0.0,0.0,305.0,1303.2,7.32
43,2017-11-18 02:09:50,3,0.0,-0.01,305.7,1306.3,7.03
44,2017-11-18 02:09:51,3,0.0,-0.05,307.6,1306.7,7.13
45,2017-11-18 02:20:53,3,0.0,-0.09,731.6,1659.7,6.85
46,2017-11-18 02:20:54,3,0.0,0.06,732.9,1663.1,6.91
47,2017-11-18 02:20:55,3,0.0,0.08,734.6,1664.0,7.01
48,2017-11-18 02:20:56,3,0.0,0.07,733.7,1670.2,7.11
49,2017-11-18 02:31:58,3,0.0,-0.05,637.0,1651.6,6.48
50,2017-11-18 02:31:59,3,0.0,-0.18,635.5,1656.5,6.28
51,2017-11-18 02:32:00,3,0.0,-0.19,647.8,1657.7,7.22
52,2017-11-18 02:32:01,3,0.0,-0.17,664.8,1659.1,7.16
53,2017-11-18 02:43:02,3,0.0,0.18,749.4,1666.7,6.94
54,2017-11-18 02:43:03,3,0.0,-0.16,735.6,1665.2,6.92
55,2017-11-18 02:43:04,3,0.0,0.03,726.1,1661.7,7.22
56,2017-11-18 02:43:05,3,0.0,-0.02,721.1,1663.0,7.05
57,2017-11-18 02:54:06,3,0.0,-0.05,938.9,1686.1,6.84
58,2017-11-18 02:54:07,3,0.0,0.08,940.9,1688.9,6.88
59,2017-11-18 02:54:08,3,0.0,0.05,938.6,1685.7,6.94
60,2017-11-18 02:54:09,3,0.0,0.03,936.4,1684.2,7.64
61,2017-11-18 03:05:11,3,0.0,0.08,783.5,1669.7,7.01
62,2017-11-18 03:05:12,3,0.0,0.02,796.7,1674.5,7.25
63,2017-11-18 03:05:13,3,0.0,-0.02,843.4,1679.5,6.46
64,2017-11-18 03:05:14,3,0.0,0.07,874.7,1682.2,6.99
65,2017-11-18 03:16:14,3,0.0,-0.11,642.1,1655.6,6.46
66,2017-11-18 03:16:15,3,0.0,0.07,662.1,1658.8,7.42
67,2017-11-18 03:16:16,3,0.0,0.14,672.5,1660.1,6.99
68,2017-11-18 03:16:17,3,0.0,0.01,689.2,1662.2,6.9
69,2017-11-18 03:27:19,3,0.0,-0.09,1057.3,1703.1,8.83
70,2017-11-18 03:27:20,3,0.0,0.08,1071.5,1699.7,9.02
71,2017-11-18 03:27:21,3,0.0,0.01,1075.3,1701.0,7.84
72,2017-11-18 03:27:22,3,0.0,-0.02,1065.0,1698.9,8.45
73,2017-11-18 03:38:24,3,0.0,-0.02,732.8,1670.9,5.56
74,2017-11-18 03:38:25,3,0.0,0.09,769.1,1673.4,6.47
75,2017-11-18 03:38:26,3,0.0,0.01,797.3,1673.8,6.65
76,2017-11-18 03:38:27,3,0.0,0.0,821.5,1677.2,7.21
77,2017-11-18 03:49:28,3,0.0,-0.05,773.7,1669.6,6.69
78,2017-11-18 03:49:29,3,0.0,0.0,786.1,1669.6,6.68
79,2017-11-18 03:49:30,3,0.0,-0.05,783.4,1671.0,6.62
80,2017-11-18 03:49:31,3,0.0,-0.2,771.2,1669.9,6.65
81,2017-11-18 04:00:32,3,0.0,-0.12,810.6,1672.3,6.29
82,2017-11-18 04:00:33,3,0.0,-0.07,823.0,1677.3,5.66
83,2017-11-18 04:00:34,3,0.0,0.01,828.0,1675.9,5.58
84,2017-11-18 04:00:35,3,0.0,-0.06,825.9,1672.6,6.3
85,2017-11-18 04:11:36,3,0.0,-0.03,763.1,1670.3,7.6
86,2017-11-18 04:11:37,3,0.0,-0.1,751.2,1666.6,8.09
87,2017-11-18 04:11:38,3,0.0,-0.01,753.7,1667.0,7.66
88,2017-11-18 04:11:39,3,0.0,0.02,775.5,1673.5,7.13
89,2017-11-18 04:22:40,3,0.0,-0.06,979.3,1689.7,8.96
90,2017-11-18 04:22:41,3,0.0,-0.2,988.1,1693.6,8.85
91,2017-11-18 04:22:42,3,0.0,0.01,987.0,1691.4,8.78
92,2017-11-18 04:22:43,3,0.0,0.11,995.2,1695.7,8.9
93,2017-11-18 04:33:43,3,0.0,0.08,753.6,1662.8,7.5
94,2017-11-18 04:33:44,3,0.0,0.02,734.7,1667.1,7.49
95,2017-11-18 04:33:46,3,0.0,-0.3,717.6,1662.4,7.64
96,2017-11-18 04:44:49,3,0.0,-0.01,712.4,1663.0,6.94
97,2017-11-18 04:44:50,3,0.0,0.08,729.8,1667.5,6.9
98,2017-11-18 04:44:51,3,0.0,0.11,755.5,1668.9,8.2
99,2017-11-18 04:44:52,3,0.0,-0.08,771.0,1672.5,8.42
100,2017-11-18 04:55:53,3,0.0,-0.01,586.9,1652.5,6.11
101,2017-11-18 04:55:54,3,0.0,0.07,599.9,1653.7,6.22
102,2017-11-18 04:55:55,3,0.0,0.05,625.3,1656.3,5.96
103,2017-11-18 04:55:56,3,0.0,0.07,673.7,1661.5,6.4
104,2017-11-18 05:06:56,3,0.0,0.07,796.2,1673.6,7.87
105,2017-11-18 05:06:57,3,0.0,-0.15,812.5,1677.7,7.58
106,2017-11-18 05:06:58,3,0.0,0.03,820.7,1674.6,7.8
107,2017-11-18 05:06:59,3,0.0,0.02,823.5,1673.7,7.57
108,2017-11-18 05:17:59,3,0.0,0.12,1138.0,1704.8,9.09
109,2017-11-18 05:18:00,3,0.0,-0.02,1121.0,1706.2,8.64
110,2017-11-18 05:18:01,3,0.0,0.01,1106.3,1703.5,8.72
111,2017-11-18 05:18:02,3,0.0,-0.07,1087.4,1703.3,8.67
112,2017-11-18 05:29:05,3,0.0,-0.06,594.6,1650.3,6.62
113,2017-11-18 05:29:06,3,0.0,0.01,601.6,1653.0,6.55
114,2017-11-18 05:29:07,3,0.0,-0.01,600.4,1652.1,6.57
115,2017-11-18 05:29:08,3,0.0,-0.15,597.5,1651.6,6.85
116,2017-11-18 05:40:09,3,0.0,0.01,575.2,1647.9,6.8
117,2017-11-18 05:40:10,3,0.0,-0.02,576.5,1647.9,6.76
118,2017-11-18 05:40:11,3,0.0,0.11,645.0,1662.2,7.03
119,2017-11-18 05:40:12,3,0.0,-0.17,678.7,1663.0,7.1
120,2017-11-18 05:51:13,3,0.0,-0.06,822.9,1677.1,7.6
121,2017-11-18 05:51:14,3,0.0,-0.14,836.9,1678.0,8.1
122,2017-11-18 05:51:15,3,0.0,-0.12,852.9,1678.0,7.86
123,2017-11-18 05:51:16,3,0.0,-0.02,865.8,1681.0,7.98
124,2017-11-18 06:02:16,3,0.0,-0.02,748.1,1667.1,6.88
125,2017-11-18 06:02:17,3,0.0,-0.02,742.5,1667.9,6.76
126,2017-11-18 06:02:18,3,0.0,-0.1,734.3,1664.6,6.62
127,2017-11-18 06:02:19,3,0.0,0.02,734.3,1663.3,6.76
128,2017-11-18 06:13:19,3,0.0,0.1,717.1,1664.5,6.92
129,2017-11-18 06:13:20,3,0.0,-0.18,718.9,1664.9,6.87
130,2017-11-18 06:13:21,3,0.0,0.01,727.4,1666.0,6.48
131,2017-11-18 06:13:22,3,0.0,-0.06,736.3,1667.0,6.9
132,2017-11-18 06:13:23,3,0.0,0.1,741.5,1667.1,7.65
133,2017-11-18 06:24:24,3,0.0,-0.12,542.2,1604.5,5.91
134,2017-11-18 06:24:25,3,0.0,0.03,541.3,1604.3,5.77
135,2017-11-18 06:24:26,3,0.0,0.02,533.6,1598.1,6.59
136,2017-11-18 06:24:27,3,0.0,0.06,532.3,1597.0,6.72
137,2017-11-18 06:35:29,3,0.0,-0.26,651.2,1656.3,7.25
138,2017-11-18 06:35:30,3,0.0,-0.05,647.0,1659.1,6.52
139,2017-11-18 06:35:31,3,0.0,0.12,639.7,1655.6,6.7
140,2017-11-18 06:35:32,3,0.0,-0.19,638.3,1655.7,6.37
141,2017-11-18 06:46:29,3,0.0,-0.12,451.1,1510.6,5.4
142,2017-11-18 06:46:30,3,0.0,-0.12,451.5,1508.9,5.51
143,2017-11-18 06:46:31,3,0.0,0.14,450.6,1509.8,5.22
144,2017-11-18 06:46:32,3,0.0,0.01,451.5,1509.0,5.15
145,2017-11-18 06:46:33,3,0.0,0.07,449.3,1505.0,5.59
146,2017-11-18 06:46:34,3,0.0,0.17,449.4,1505.1,5.84
147,2017-11-18 06:46:35,3,0.0,-0.16,445.5,1504.7,5.76
148,2017-11-18 06:46:36,3,0.0,-0.07,445.9,1503.2,5.45
149,2017-11-18 06:57:39,3,0.0,0.03,481.7,1540.5,6.68
