,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-20 11:06:01,2,0.0,0.0,0.0,169.4,3.17
1,2017-11-20 11:06:02,2,0.0,-0.02,0.0,171.6,3.05
2,2017-11-20 11:06:03,2,0.0,-0.01,0.0,173.9,2.99
3,2017-11-20 11:06:04,2,0.0,-0.02,0.0,176.2,3.05
4,2017-11-20 11:16:56,3,0.0,-0.01,70.4,1028.2,3.08
5,2017-11-20 11:16:57,3,0.0,0.03,66.2,1026.9,2.83
6,2017-11-20 11:16:58,3,0.0,-0.01,65.0,1026.2,3.01
7,2017-11-20 11:16:59,3,0.0,0.02,64.9,1024.8,2.99
8,2017-11-20 11:17:00,3,0.0,0.0,64.8,1025.0,2.94
9,2017-11-20 11:27:54,3,0.0,-0.07,50.3,1012.0,3.54
10,2017-11-20 11:27:55,3,0.0,0.04,46.2,1011.7,3.35
11,2017-11-20 11:27:56,3,0.0,0.03,44.7,1011.7,3.45
12,2017-11-20 11:27:57,3,0.0,-0.04,47.2,1010.5,3.35
13,2017-11-20 11:27:58,3,0.0,-0.01,48.0,1011.7,2.98
14,2017-11-20 11:38:52,3,0.0,-0.04,37.8,1006.3,3.19
15,2017-11-20 11:38:53,3,0.0,0.0,41.2,1006.4,3.24
16,2017-11-20 11:38:54,3,0.0,-0.03,40.1,1006.2,3.27
17,2017-11-20 11:38:55,3,0.0,0.01,38.4,1007.3,3.21
18,2017-11-20 11:38:56,3,0.0,0.02,36.0,1006.8,2.87
19,2017-11-20 11:49:59,9,0.0,-0.03,0.0,12.7,3.05
20,2017-11-20 11:50:00,9,0.0,-0.02,0.0,13.2,3.24
21,2017-11-20 11:50:01,9,0.0,0.0,0.0,13.5,3.32
22,2017-11-20 11:50:02,9,0.0,-0.01,0.0,14.4,2.97
23,2017-11-20 12:01:05,9,0.0,0.0,0.0,9.1,2.16
24,2017-11-20 12:01:06,9,0.0,-0.02,0.0,9.1,2.02
25,2017-11-20 12:01:07,9,0.0,0.0,0.0,8.3,2.05
26,2017-11-20 12:01:08,9,0.0,-0.02,0.0,7.5,2.47
27,2017-11-20 12:12:11,9,0.0,0.01,0.0,3.8,4.0
28,2017-11-20 12:12:12,9,0.0,0.0,0.0,2.2,3.93
29,2017-11-20 12:12:13,9,0.0,-0.01,0.0,1.5,4.11
30,2017-11-20 12:12:14,9,0.0,0.0,0.0,0.9,4.2
31,2017-11-20 12:23:18,9,0.0,0.0,0.0,7.1,4.66
32,2017-11-20 12:23:19,9,0.0,0.0,0.0,7.2,4.63
33,2017-11-20 12:23:20,9,0.0,-0.01,0.0,7.2,4.67
34,2017-11-20 12:23:21,9,0.0,0.0,0.0,7.5,4.7
35,2017-11-20 12:34:24,3,0.0,-0.03,96.7,1047.2,4.95
36,2017-11-20 12:34:25,3,0.0,-0.11,97.8,1048.2,5.21
37,2017-11-20 12:34:26,3,0.0,-0.02,98.3,1047.9,5.22
38,2017-11-20 12:34:27,3,0.0,-0.03,99.4,1048.7,5.16
39,2017-11-20 12:34:28,3,0.0,0.0,101.2,1050.9,5.21
40,2017-11-20 12:45:31,3,0.0,-0.07,117.8,1063.0,4.41
41,2017-11-20 12:45:32,3,0.0,0.0,121.1,1063.8,4.04
42,2017-11-20 12:45:33,3,0.0,-0.01,118.5,1066.8,4.01
43,2017-11-20 12:45:34,3,0.0,-0.03,123.8,1067.6,4.18
44,2017-11-20 12:56:36,3,0.0,0.07,129.4,1070.2,4.24
45,2017-11-20 12:56:37,3,0.0,-0.02,130.6,1068.9,4.62
46,2017-11-20 12:56:38,3,0.0,-0.06,130.7,1068.2,4.85
47,2017-11-20 12:56:39,3,0.0,0.02,128.1,1067.3,5.12
48,2017-11-20 12:56:40,3,0.0,-0.02,124.8,1067.1,4.84
