,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-16 14:28:54,3,0.0,-0.01,55.2,1020.8,4.29
1,2017-11-16 14:28:55,3,0.0,0.03,54.5,1019.4,4.34
2,2017-11-16 14:28:56,3,0.0,0.0,55.6,1018.8,4.27
3,2017-11-16 14:28:57,3,0.0,-0.07,56.0,1019.1,4.19
4,2017-11-16 14:28:58,3,0.0,0.0,55.6,1019.1,3.87
5,2017-11-16 14:28:59,3,0.0,0.0,53.1,1016.8,3.89
6,2017-11-16 14:29:00,3,0.0,0.06,53.9,1016.6,4.16
7,2017-11-16 14:29:01,3,0.0,-0.03,50.6,1016.4,4.11
8,2017-11-16 14:29:02,3,0.0,0.01,49.3,1014.5,3.96
9,2017-11-16 14:29:03,3,0.0,-0.05,50.3,1014.2,4.19
10,2017-11-16 14:29:04,3,0.0,-0.02,50.5,1014.6,4.13
11,2017-11-16 14:29:05,3,0.0,-0.01,49.0,1014.2,4.29
12,2017-11-16 14:29:06,3,0.0,0.02,47.1,1013.1,4.45
13,2017-11-16 14:29:07,3,0.0,0.01,47.3,1011.8,4.44
14,2017-11-16 14:29:08,3,0.0,0.0,43.2,1011.3,4.49
15,2017-11-16 14:29:09,3,0.0,0.01,45.3,1012.7,4.56
16,2017-11-16 14:29:10,3,0.0,-0.03,45.7,1013.5,4.89
17,2017-11-16 14:29:11,3,0.0,0.0,46.2,1012.9,5.29
18,2017-11-16 14:29:12,3,0.0,-0.02,46.9,1013.3,5.27
19,2017-11-16 14:29:13,3,0.0,-0.03,47.8,1014.0,5.07
20,2017-11-16 14:29:14,3,0.0,0.05,48.5,1014.7,5.07
21,2017-11-16 14:29:15,3,0.0,-0.09,50.7,1015.3,4.89
22,2017-11-16 14:29:16,3,0.0,0.05,49.8,1015.8,4.46
23,2017-11-16 14:29:17,3,0.0,-0.02,55.1,1018.1,4.73
24,2017-11-16 14:29:18,3,0.0,0.01,53.2,1018.3,4.55
25,2017-11-16 14:29:19,3,0.0,0.03,51.4,1017.3,4.45
26,2017-11-16 14:29:20,3,0.0,-0.01,50.0,1017.0,4.64
27,2017-11-16 14:29:21,3,0.0,0.0,52.1,1018.8,4.81
28,2017-11-16 14:29:22,3,0.0,0.0,53.5,1018.8,4.6
29,2017-11-16 14:29:23,3,0.0,-0.03,55.3,1018.0,4.45
30,2017-11-16 14:29:24,3,0.0,0.01,55.6,1018.4,4.19
31,2017-11-16 14:29:25,3,0.0,-0.09,53.8,1016.8,4.19
32,2017-11-16 14:29:26,3,0.0,0.01,50.7,1015.1,4.12
33,2017-11-16 14:29:27,3,0.0,0.01,49.0,1015.0,4.24
34,2017-11-16 14:29:28,3,0.0,-0.05,50.6,1014.9,4.18
35,2017-11-16 14:29:29,3,0.0,0.06,47.9,1013.0,4.05
36,2017-11-16 14:29:30,3,0.0,0.0,49.2,1011.7,4.02
37,2017-11-16 14:29:31,3,0.0,-0.02,45.5,1010.6,4.01
38,2017-11-16 14:29:32,3,0.0,0.01,44.5,1009.1,4.34
39,2017-11-16 14:29:33,3,0.0,-0.03,40.3,1006.7,4.07
40,2017-11-16 14:29:34,3,0.0,-0.02,37.3,1004.0,3.82
41,2017-11-16 14:29:35,3,0.0,0.06,34.3,1004.6,3.63
42,2017-11-16 14:29:36,3,0.0,-0.07,33.7,1004.0,3.48
43,2017-11-16 14:29:37,3,0.0,0.05,30.1,999.9,3.17
44,2017-11-16 14:29:38,3,0.0,0.01,27.8,997.6,3.28
45,2017-11-16 14:29:39,3,0.0,-0.03,25.2,996.2,3.13
46,2017-11-16 14:29:40,3,0.0,-0.01,20.2,995.7,2.86
47,2017-11-16 14:29:41,3,0.0,0.02,19.4,994.9,2.73
48,2017-11-16 14:29:42,3,0.0,0.06,16.6,991.0,2.79
49,2017-11-16 14:29:43,3,0.0,0.03,20.3,990.1,2.5
50,2017-11-16 14:29:44,3,0.0,-0.05,16.9,989.2,2.25
51,2017-11-16 14:29:45,3,0.0,0.01,13.6,987.0,2.17
52,2017-11-16 14:29:46,3,0.0,-0.03,8.3,985.1,2.18
53,2017-11-16 14:29:47,2,0.0,-0.03,-0.3,985.3,2.21
54,2017-11-16 14:29:48,2,0.0,0.05,1.5,985.3,2.06
55,2017-11-16 14:29:49,2,0.0,-0.02,0.0,987.4,2.21
56,2017-11-16 14:29:50,2,0.0,0.0,0.0,987.6,2.24
57,2017-11-16 14:29:51,2,0.0,0.02,0.0,988.6,2.17
58,2017-11-16 14:29:52,2,0.0,-0.12,0.0,989.9,1.83
59,2017-11-16 14:29:53,2,0.0,0.0,0.0,991.0,1.66
60,2017-11-16 14:29:54,2,0.0,-0.12,0.0,994.1,1.4
61,2017-11-16 14:29:55,2,0.0,-0.02,0.0,994.1,1.37
62,2017-11-16 14:29:56,2,0.0,0.02,0.0,995.8,1.35
63,2017-11-16 14:29:57,2,0.0,-0.07,0.0,997.1,1.21
64,2017-11-16 14:29:58,2,0.0,0.03,0.0,998.2,1.14
65,2017-11-16 14:29:59,2,0.0,0.05,0.0,1000.0,1.18
66,2017-11-16 14:30:00,2,0.0,-0.12,0.0,1001.6,1.37
67,2017-11-16 14:30:01,2,0.0,0.02,0.0,1002.4,1.36
68,2017-11-16 14:30:02,2,0.0,0.02,0.0,1003.9,1.4
69,2017-11-16 14:30:03,2,0.0,0.01,0.0,1005.4,1.72
70,2017-11-16 14:30:04,2,0.0,0.03,0.0,1006.7,1.89
71,2017-11-16 14:30:05,2,0.0,-0.03,0.0,1007.7,2.09
72,2017-11-16 14:30:06,2,0.0,0.0,0.0,1009.1,2.35
73,2017-11-16 14:30:07,2,0.0,0.0,0.0,1010.8,2.64
74,2017-11-16 14:30:08,2,0.0,0.01,0.0,1012.9,3.02
75,2017-11-16 14:30:09,2,0.0,0.01,0.0,1014.0,3.06
76,2017-11-16 14:30:10,2,0.0,-0.03,0.0,1015.6,2.98
77,2017-11-16 14:30:11,2,0.0,-0.06,0.0,1014.8,2.89
78,2017-11-16 14:30:12,2,0.0,-0.02,0.0,1019.4,3.23
79,2017-11-16 14:30:13,2,0.0,-0.1,0.0,1020.6,3.17
80,2017-11-16 14:30:14,2,0.0,0.01,0.0,1019.9,3.13
81,2017-11-16 14:30:15,2,0.0,0.01,0.0,1021.3,3.15
82,2017-11-16 14:30:16,2,0.0,-0.03,0.0,1024.0,2.83
83,2017-11-16 14:30:17,2,0.0,0.06,0.0,1024.3,2.69
84,2017-11-16 14:30:18,2,0.0,-0.05,0.0,1025.9,2.98
85,2017-11-16 14:30:19,2,0.0,-0.08,0.0,1027.0,3.08
86,2017-11-16 14:30:20,2,0.0,0.05,0.0,1028.6,3.15
87,2017-11-16 14:30:21,2,0.0,-0.09,0.0,1031.9,3.28
88,2017-11-16 14:30:22,2,0.0,0.03,0.0,1030.5,3.12
89,2017-11-16 14:30:23,2,0.0,0.01,0.0,1033.1,2.89
90,2017-11-16 14:30:24,2,0.0,-0.08,0.0,1035.2,2.89
91,2017-11-16 14:30:25,2,0.0,0.03,0.0,1038.7,3.15
92,2017-11-16 14:30:26,2,0.0,-0.07,0.0,1039.0,2.86
93,2017-11-16 14:30:27,2,0.0,-0.03,0.0,1040.7,2.9
94,2017-11-16 14:30:28,2,0.0,0.01,0.0,1041.5,2.83
95,2017-11-16 14:30:29,2,0.0,-0.07,0.0,1045.1,3.27
96,2017-11-16 14:30:30,2,0.0,-0.02,0.0,1045.7,3.08
97,2017-11-16 14:30:31,2,0.0,0.01,0.0,1048.5,2.91
98,2017-11-16 14:30:32,2,0.0,-0.02,0.0,1049.2,2.83
99,2017-11-16 14:30:33,2,0.0,0.05,0.0,1053.3,2.94
100,2017-11-16 14:30:34,2,0.0,-0.03,0.0,1052.5,2.98
101,2017-11-16 14:30:35,2,0.0,-0.02,0.0,1054.7,3.02
102,2017-11-16 14:30:36,2,0.0,0.06,0.0,1057.0,2.91
103,2017-11-16 14:30:37,2,0.0,-0.09,0.0,1060.3,2.82
104,2017-11-16 14:30:38,2,0.0,0.02,0.0,1061.0,2.72
105,2017-11-16 14:30:39,2,0.0,0.05,0.0,1064.0,2.49
106,2017-11-16 14:30:40,2,0.0,-0.05,0.0,1065.0,2.29
107,2017-11-16 14:30:41,2,0.0,0.0,0.0,1067.4,2.35
108,2017-11-16 14:30:42,2,0.0,-0.06,0.0,1071.8,2.53
109,2017-11-16 14:30:43,2,0.0,0.02,0.0,1071.8,2.42
110,2017-11-16 14:30:44,2,0.0,0.0,0.0,1073.9,2.35
111,2017-11-16 14:30:45,2,0.0,-0.03,0.0,1076.5,2.33
112,2017-11-16 14:30:46,2,0.0,0.01,0.0,1078.1,2.31
