,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-16 04:27:57,9,0.0,-0.01,0.0,0.0,3.38
1,2017-11-16 04:27:58,9,0.0,-0.02,0.0,0.2,3.42
2,2017-11-16 04:27:59,9,0.0,0.01,0.0,0.6,3.38
3,2017-11-16 04:28:00,9,0.0,-0.03,0.0,0.9,3.56
4,2017-11-16 04:28:01,9,0.0,-0.02,0.0,1.2,3.42
5,2017-11-16 04:28:02,9,0.0,-0.02,0.0,1.2,3.53
6,2017-11-16 04:28:03,9,0.0,-0.03,0.0,1.1,3.49
7,2017-11-16 04:28:04,9,0.0,-0.03,0.0,0.9,3.5
8,2017-11-16 04:28:05,9,0.0,-0.01,0.0,0.7,3.48
9,2017-11-16 04:28:06,9,0.0,-0.02,0.0,0.5,3.56
10,2017-11-16 04:28:07,9,0.0,-0.02,0.0,0.3,3.5
11,2017-11-16 04:28:08,9,0.0,0.0,0.0,0.2,3.49
12,2017-11-16 04:28:09,9,0.0,0.0,0.0,0.0,3.59
13,2017-11-16 04:28:10,9,0.0,-0.02,0.0,0.0,3.63
14,2017-11-16 04:28:11,9,0.0,-0.01,0.0,0.0,3.53
15,2017-11-16 04:28:12,9,0.0,0.0,0.0,0.0,3.53
16,2017-11-16 04:28:13,9,0.0,-0.01,0.0,0.3,3.52
17,2017-11-16 04:28:14,9,0.0,-0.01,0.0,0.6,3.56
18,2017-11-16 04:28:15,9,0.0,-0.01,0.0,0.4,3.52
19,2017-11-16 04:28:16,9,0.0,-0.02,0.0,0.6,3.53
20,2017-11-16 04:28:17,9,0.0,0.01,0.0,0.4,3.41
21,2017-11-16 04:28:18,9,0.0,-0.02,0.0,0.1,3.37
22,2017-11-16 04:28:19,9,0.0,-0.03,0.0,0.0,3.32
23,2017-11-16 04:28:20,9,0.0,0.0,0.0,0.0,3.31
24,2017-11-16 04:28:21,9,0.0,-0.01,0.0,0.7,3.3
25,2017-11-16 04:28:22,9,0.0,-0.02,0.0,0.9,3.28
26,2017-11-16 04:28:23,9,0.0,-0.02,0.0,1.0,3.32
27,2017-11-16 04:28:24,9,0.0,-0.01,0.0,0.9,3.42
28,2017-11-16 04:28:25,9,0.0,0.0,0.0,1.1,3.82
29,2017-11-16 04:28:26,9,0.0,-0.03,0.0,1.2,3.67
30,2017-11-16 04:28:27,9,0.0,0.0,0.0,1.2,3.59
31,2017-11-16 04:28:28,9,0.0,-0.02,0.0,1.5,3.63
32,2017-11-16 04:28:29,9,0.0,0.0,0.0,1.5,3.54
33,2017-11-16 04:28:30,9,0.0,-0.03,0.0,1.0,3.65
34,2017-11-16 04:28:31,9,0.0,-0.01,0.0,0.5,3.72
35,2017-11-16 04:28:32,9,0.0,-0.03,0.0,0.0,3.78
36,2017-11-16 04:28:33,9,0.0,-0.02,0.0,0.0,3.65
37,2017-11-16 04:28:34,9,0.0,-0.01,0.0,0.0,3.68
38,2017-11-16 04:28:35,9,0.0,0.01,0.0,0.0,3.72
39,2017-11-16 04:28:36,9,0.0,-0.01,0.0,0.0,3.63
40,2017-11-16 04:28:37,9,0.0,-0.01,0.0,0.0,3.59
41,2017-11-16 04:28:38,9,0.0,0.0,0.0,0.0,3.65
42,2017-11-16 04:28:39,9,0.0,-0.03,0.0,0.0,3.63
43,2017-11-16 04:28:40,9,0.0,-0.03,0.0,0.0,3.57
