,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-15 14:55:46,3,0.0,-0.07,135.0,1077.1,4.99
1,2017-11-15 14:55:47,3,0.0,0.02,136.2,1076.7,5.0
2,2017-11-15 14:55:48,3,0.0,0.0,135.8,1076.1,5.03
3,2017-11-15 14:55:49,3,0.0,0.02,136.5,1076.2,4.9
4,2017-11-15 14:55:50,3,0.0,-0.06,135.3,1075.6,4.71
5,2017-11-15 14:55:51,3,0.0,0.02,133.0,1075.6,4.7
6,2017-11-15 14:55:52,3,0.0,0.03,135.1,1077.4,4.67
7,2017-11-15 14:55:53,3,0.0,-0.02,138.2,1076.9,4.73
8,2017-11-15 14:55:54,3,0.0,0.03,136.3,1077.4,4.52
9,2017-11-15 14:55:55,3,0.0,-0.02,135.5,1077.3,4.51
10,2017-11-15 14:55:56,3,0.0,0.08,136.1,1077.6,4.64
11,2017-11-15 14:55:57,3,0.0,-0.02,136.0,1078.7,4.46
12,2017-11-15 14:55:58,3,0.0,-0.07,137.9,1079.8,4.85
13,2017-11-15 14:55:59,3,0.0,0.02,140.5,1079.9,4.99
14,2017-11-15 14:56:00,3,0.0,-0.02,138.0,1079.7,4.9
15,2017-11-15 14:56:01,3,0.0,0.02,140.0,1079.0,5.22
16,2017-11-15 14:56:02,3,0.0,0.01,139.0,1079.5,5.21
17,2017-11-15 14:56:03,3,0.0,-0.01,142.2,1079.6,5.19
18,2017-11-15 14:56:04,3,0.0,0.04,137.8,1079.3,5.04
19,2017-11-15 14:56:06,3,0.0,0.04,137.8,1079.3,5.04
20,2017-11-15 14:56:07,3,0.0,0.03,136.8,1077.7,4.24
21,2017-11-15 14:56:08,3,0.0,-0.08,136.2,1078.1,4.35
22,2017-11-15 14:56:09,3,0.0,-0.02,138.1,1077.6,4.71
23,2017-11-15 14:56:10,3,0.0,0.03,134.7,1077.3,5.05
24,2017-11-15 14:56:11,3,0.0,-0.02,138.4,1076.5,5.08
25,2017-11-15 14:56:12,3,0.0,0.02,135.2,1076.3,5.34
26,2017-11-15 14:56:13,3,0.0,-0.01,133.2,1072.4,5.56
27,2017-11-15 14:56:14,3,0.0,-0.06,132.0,1072.3,5.36
28,2017-11-15 14:56:15,3,0.0,0.03,129.7,1072.3,5.08
29,2017-11-15 14:56:16,3,0.0,-0.01,126.7,1071.2,4.9
30,2017-11-15 14:56:17,3,0.0,0.01,125.4,1069.2,5.05
31,2017-11-15 14:56:18,3,0.0,0.01,123.5,1066.4,5.55
32,2017-11-15 14:56:19,3,0.0,0.01,121.8,1065.3,5.43
33,2017-11-15 14:56:20,3,0.0,-0.02,116.7,1063.4,5.08
34,2017-11-15 14:56:21,3,0.0,-0.01,116.6,1062.0,4.86
35,2017-11-15 14:56:22,3,0.0,-0.04,112.3,1058.7,4.4
36,2017-11-15 14:56:23,3,0.0,0.0,109.0,1057.0,4.37
37,2017-11-15 14:56:24,3,0.0,-0.03,108.2,1055.9,4.46
38,2017-11-15 14:56:25,3,0.0,0.01,107.2,1054.0,4.31
39,2017-11-15 14:56:26,3,0.0,0.0,101.3,1052.0,4.01
40,2017-11-15 14:56:27,3,0.0,-0.06,99.3,1051.5,3.93
41,2017-11-15 14:56:28,3,0.0,-0.02,99.0,1049.7,4.09
42,2017-11-15 14:56:29,3,0.0,-0.03,98.8,1047.9,4.02
43,2017-11-15 14:56:30,3,0.0,-0.01,93.1,1045.5,3.79
44,2017-11-15 14:56:31,3,0.0,0.03,90.2,1043.9,3.54
45,2017-11-15 14:56:32,3,0.0,0.03,88.7,1042.2,3.63
46,2017-11-15 14:56:33,3,0.0,-0.01,87.0,1041.2,4.2
47,2017-11-15 14:56:34,3,0.0,0.02,83.0,1039.5,4.52
48,2017-11-15 14:56:35,3,0.0,0.01,82.7,1037.4,4.59
49,2017-11-15 14:56:36,3,0.0,0.01,80.5,1035.2,4.51
50,2017-11-15 14:56:37,3,0.0,-0.01,81.0,1034.2,4.7
51,2017-11-15 14:56:38,3,0.0,0.06,74.7,1030.7,4.51
52,2017-11-15 14:56:39,3,0.0,-0.01,69.5,1029.0,4.46
53,2017-11-15 14:56:40,3,0.0,0.0,70.1,1027.3,4.18
54,2017-11-15 14:56:41,3,0.0,-0.02,69.0,1026.1,4.13
55,2017-11-15 14:56:42,3,0.0,0.01,62.0,1023.7,3.96
56,2017-11-15 14:56:43,3,0.0,-0.06,60.7,1019.8,4.0
57,2017-11-15 14:56:44,3,0.0,0.03,57.9,1018.8,4.11
58,2017-11-15 14:56:45,3,0.0,-0.03,51.5,1019.0,4.15
59,2017-11-15 14:56:46,3,0.0,0.01,52.5,1016.6,4.16
60,2017-11-15 14:56:47,3,0.0,0.02,52.4,1015.7,3.96
61,2017-11-15 14:56:48,3,0.0,-0.03,52.1,1014.2,3.85
62,2017-11-15 14:56:49,3,0.0,-0.03,49.0,1012.1,3.78
63,2017-11-15 14:56:50,3,0.0,-0.02,46.4,1011.8,3.83
64,2017-11-15 14:56:51,3,0.0,0.02,43.0,1011.2,3.83
65,2017-11-15 14:56:52,3,0.0,-0.02,45.7,1010.6,3.85
66,2017-11-15 14:56:53,3,0.0,0.03,40.6,1010.5,4.13
67,2017-11-15 14:56:54,3,0.0,0.03,40.6,1009.1,4.31
68,2017-11-15 14:56:55,3,0.0,0.02,38.9,1008.0,4.07
69,2017-11-15 14:56:56,3,0.0,-0.06,39.0,1007.4,3.76
70,2017-11-15 14:56:57,3,0.0,0.03,39.0,1007.4,3.38
71,2017-11-15 14:56:58,3,0.0,0.02,38.8,1007.7,3.2
72,2017-11-15 14:56:59,3,0.0,-0.06,36.9,1006.7,3.27
73,2017-11-15 14:57:00,3,0.0,-0.04,35.4,1005.6,3.52
74,2017-11-15 14:57:01,3,0.0,0.03,36.8,1005.2,3.43
75,2017-11-15 14:57:02,3,0.0,0.0,33.6,1004.6,3.43
76,2017-11-15 14:57:03,3,0.0,0.0,32.7,1003.4,3.49
77,2017-11-15 14:57:04,3,0.0,-0.03,35.0,1003.1,3.71
78,2017-11-15 14:57:05,3,0.0,-0.02,33.2,1002.6,3.87
79,2017-11-15 14:57:06,3,0.0,0.0,28.6,1001.0,4.2
80,2017-11-15 14:57:07,3,0.0,-0.02,30.0,999.1,4.27
81,2017-11-15 14:57:08,3,0.0,-0.01,28.7,999.8,4.19
82,2017-11-15 14:57:09,3,0.0,-0.03,26.1,1000.1,4.0
83,2017-11-15 14:57:10,3,0.0,-0.02,26.4,998.3,4.37
84,2017-11-15 14:57:11,3,0.0,-0.02,27.0,998.3,4.35
85,2017-11-15 14:57:12,3,0.0,-0.04,23.7,998.3,4.31
86,2017-11-15 14:57:13,3,0.0,-0.01,27.5,998.1,4.19
87,2017-11-15 14:57:14,3,0.0,-0.04,22.2,996.7,4.02
88,2017-11-15 14:57:15,3,0.0,0.03,22.2,996.0,3.71
89,2017-11-15 14:57:16,3,0.0,-0.04,25.2,996.4,3.7
90,2017-11-15 14:57:17,3,0.0,-0.01,23.9,997.1,3.81
91,2017-11-15 14:57:18,3,0.0,-0.04,22.1,996.1,3.81
92,2017-11-15 14:57:19,3,0.0,-0.03,21.2,996.5,4.02
93,2017-11-15 14:57:20,3,0.0,0.0,23.1,996.0,4.04
94,2017-11-15 14:57:21,3,0.0,-0.02,22.5,995.6,4.13
95,2017-11-15 14:57:22,3,0.0,0.0,22.1,995.0,4.02
96,2017-11-15 14:57:23,3,0.0,-0.04,24.2,996.9,3.76
97,2017-11-15 14:57:24,3,0.0,0.01,20.6,997.5,3.78
98,2017-11-15 14:57:25,3,0.0,-0.04,23.1,997.3,3.72
99,2017-11-15 14:57:26,3,0.0,0.0,26.9,996.1,3.7
100,2017-11-15 14:57:27,3,0.0,-0.02,23.5,996.7,3.38
101,2017-11-15 14:57:28,3,0.0,0.0,26.0,997.9,3.35
102,2017-11-15 14:57:29,3,0.0,0.0,23.7,998.3,3.61
103,2017-11-15 14:57:30,3,0.0,0.02,27.5,998.3,3.71
104,2017-11-15 14:57:31,3,0.0,-0.04,25.2,998.4,3.54
105,2017-11-15 14:57:32,3,0.0,0.03,26.8,998.5,3.42
106,2017-11-15 14:57:33,3,0.0,-0.03,25.0,998.4,3.35
107,2017-11-15 14:57:34,3,0.0,-0.03,26.7,998.4,3.32
108,2017-11-15 14:57:36,3,0.0,-0.01,29.8,999.8,2.97
109,2017-11-15 14:57:38,3,0.0,0.01,29.0,998.7,3.24
110,2017-11-15 14:57:39,3,0.0,0.03,24.9,998.5,3.26
111,2017-11-15 14:57:40,3,0.0,0.0,28.2,999.8,3.02
112,2017-11-15 14:57:41,3,0.0,0.01,25.6,999.8,2.8
113,2017-11-15 14:57:42,3,0.0,0.0,27.5,999.2,2.82
