,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-20 04:05:16,2,0.0,0.02,0.0,542.2,3.43
1,2017-11-20 04:05:17,2,0.0,-0.01,0.0,551.8,3.5
2,2017-11-20 04:05:18,2,0.0,-0.01,0.0,561.2,3.42
3,2017-11-20 04:05:19,2,0.0,-0.01,0.0,582.1,3.21
4,2017-11-20 04:05:20,2,0.0,-0.01,0.0,592.9,3.3
5,2017-11-20 04:16:27,3,0.0,0.03,106.5,1052.0,4.46
6,2017-11-20 04:16:28,3,0.0,-0.09,106.5,1051.9,4.19
7,2017-11-20 04:16:29,3,0.0,0.07,107.4,1054.7,4.11
8,2017-11-20 04:16:30,3,0.0,-0.07,104.2,1053.6,4.19
9,2017-11-20 04:27:37,3,0.0,0.01,88.0,1040.1,3.42
10,2017-11-20 04:27:38,3,0.0,0.02,89.5,1040.7,3.54
11,2017-11-20 04:27:39,3,0.0,-0.1,87.9,1041.3,3.61
12,2017-11-20 04:27:40,3,0.0,0.03,89.5,1039.4,3.61
13,2017-11-20 04:38:47,3,0.0,-0.01,128.4,1065.2,4.59
14,2017-11-20 04:38:48,3,0.0,-0.09,122.8,1065.2,4.62
15,2017-11-20 04:38:49,3,0.0,-0.08,122.7,1064.7,4.67
16,2017-11-20 04:38:50,3,0.0,-0.07,125.0,1064.1,4.51
17,2017-11-20 04:38:51,3,0.0,-0.01,123.1,1064.5,4.79
18,2017-11-20 04:49:58,3,0.0,-0.01,83.8,1039.8,3.42
19,2017-11-20 04:49:59,3,0.0,-0.06,87.9,1040.0,3.31
20,2017-11-20 04:50:00,3,0.0,0.03,86.7,1040.7,3.64
21,2017-11-20 04:50:01,3,0.0,0.01,91.3,1042.6,3.93
22,2017-11-20 05:01:09,3,0.0,-0.02,70.3,1027.2,3.38
23,2017-11-20 05:01:10,3,0.0,0.02,71.4,1027.4,3.46
24,2017-11-20 05:01:11,3,0.0,-0.06,67.4,1027.9,3.32
25,2017-11-20 05:12:19,3,0.0,0.04,67.8,1025.7,3.09
26,2017-11-20 05:12:20,3,0.0,-0.03,67.8,1025.7,2.95
27,2017-11-20 05:12:21,3,0.0,-0.02,65.0,1025.6,2.99
28,2017-11-20 05:12:22,3,0.0,-0.02,66.2,1024.8,3.26
29,2017-11-20 05:23:28,3,0.0,-0.06,14.2,990.9,2.57
30,2017-11-20 05:23:29,3,0.0,-0.04,17.4,990.2,2.64
31,2017-11-20 05:23:30,3,0.0,-0.04,17.3,990.3,2.58
32,2017-11-20 05:23:31,3,0.0,-0.02,13.5,990.6,2.57
33,2017-11-20 05:34:37,9,0.0,-0.01,0.0,0.0,2.09
34,2017-11-20 05:34:38,9,0.0,-0.02,0.0,0.0,2.02
35,2017-11-20 05:34:39,9,0.0,-0.01,0.0,0.0,2.0
36,2017-11-20 05:34:40,9,0.0,-0.02,0.0,0.0,2.0
37,2017-11-20 05:45:47,9,0.0,-0.01,0.0,0.2,1.15
38,2017-11-20 05:45:48,9,0.0,-0.01,0.0,0.1,1.17
39,2017-11-20 05:45:49,9,0.0,-0.01,0.0,0.0,1.03
40,2017-11-20 05:45:50,9,0.0,0.0,0.0,0.0,1.04
41,2017-11-20 05:45:51,9,0.0,-0.02,0.0,0.0,0.92
42,2017-11-20 05:56:55,9,0.0,-0.01,0.0,0.5,0.78
43,2017-11-20 05:56:56,9,0.0,0.0,0.0,0.6,0.75
44,2017-11-20 05:56:57,9,0.0,-0.02,0.0,0.6,0.8
45,2017-11-20 05:56:58,9,0.0,0.0,0.0,0.4,0.81
46,2017-11-20 06:08:03,9,0.0,-0.01,0.0,0.0,0.81
47,2017-11-20 06:08:04,9,0.0,-0.03,0.0,0.0,0.88
48,2017-11-20 06:08:05,9,0.0,-0.01,0.0,0.0,0.78
49,2017-11-20 06:08:06,9,0.0,-0.02,0.0,0.0,0.77
50,2017-11-20 06:19:13,9,0.0,0.0,0.0,5.5,2.13
51,2017-11-20 06:19:14,9,0.0,0.0,0.0,5.4,2.17
52,2017-11-20 06:19:15,9,0.0,-0.02,0.0,5.5,2.09
53,2017-11-20 06:19:16,9,0.0,-0.01,0.0,5.4,2.11
54,2017-11-20 06:30:23,9,0.0,0.0,0.0,0.0,1.04
55,2017-11-20 06:30:24,9,0.0,0.0,0.0,0.0,0.97
56,2017-11-20 06:30:25,9,0.0,-0.02,0.0,0.0,0.88
57,2017-11-20 06:30:26,9,0.0,0.0,0.0,0.0,0.89
58,2017-11-20 06:41:32,9,0.0,-0.02,0.0,2.5,1.3
59,2017-11-20 06:41:33,9,0.0,-0.02,0.0,2.5,1.29
60,2017-11-20 06:41:34,9,0.0,-0.01,0.0,2.6,1.33
61,2017-11-20 06:41:35,9,0.0,-0.01,0.0,2.7,1.24
62,2017-11-20 06:41:36,9,0.0,-0.01,0.0,2.8,1.26
63,2017-11-20 06:52:41,9,0.0,0.0,0.0,0.0,1.63
64,2017-11-20 06:52:42,9,0.0,-0.02,0.0,0.0,1.58
65,2017-11-20 06:52:43,9,0.0,0.0,0.0,0.0,1.54
66,2017-11-20 06:52:44,9,0.0,0.0,0.0,0.0,1.48
67,2017-11-20 07:03:50,9,0.0,0.0,0.0,0.0,0.0
68,2017-11-20 07:03:51,9,0.0,0.0,0.0,0.0,0.0
69,2017-11-20 07:03:52,9,0.0,-0.01,0.0,0.0,0.0
70,2017-11-20 07:03:53,9,0.0,-0.01,0.0,0.0,0.0
71,2017-11-20 07:14:58,9,0.0,0.0,0.0,0.0,1.54
72,2017-11-20 07:14:59,9,0.0,0.0,0.0,0.0,1.48
73,2017-11-20 07:15:00,9,0.0,0.01,0.0,0.0,1.48
74,2017-11-20 07:15:01,9,0.0,0.0,0.0,0.0,1.54
75,2017-11-20 07:26:05,9,0.0,-0.01,0.0,4.3,2.17
76,2017-11-20 07:26:06,9,0.0,-0.02,0.0,4.3,2.17
77,2017-11-20 07:26:07,9,0.0,-0.01,0.0,4.2,2.24
78,2017-11-20 07:26:08,9,0.0,-0.01,0.0,4.1,2.25
79,2017-11-20 07:26:09,9,0.0,0.0,0.0,4.1,2.22
80,2017-11-20 07:37:15,9,0.0,-0.02,0.0,0.0,0.0
81,2017-11-20 07:37:16,9,0.0,-0.01,0.0,0.0,0.0
