,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-20 01:40:14,2,0.0,-0.01,0.0,15.8,3.39
1,2017-11-20 01:40:15,2,0.0,0.01,0.0,15.7,3.48
2,2017-11-20 01:40:16,2,0.0,-0.01,0.0,15.5,3.49
3,2017-11-20 01:40:17,2,0.0,-0.02,0.0,15.4,3.53
4,2017-11-20 01:40:18,2,0.0,-0.01,0.0,15.2,3.56
5,2017-11-20 01:51:24,9,0.0,-0.03,0.0,14.5,2.09
6,2017-11-20 01:51:25,9,0.0,-0.01,0.0,14.6,2.16
7,2017-11-20 01:51:26,9,0.0,-0.01,0.0,14.8,2.1
8,2017-11-20 01:51:27,9,0.0,0.0,0.0,14.6,2.09
9,2017-11-20 02:02:32,9,0.0,0.0,0.0,0.0,1.63
10,2017-11-20 02:02:33,9,0.0,-0.01,0.0,0.0,1.76
11,2017-11-20 02:02:34,9,0.0,-0.02,0.0,0.0,1.83
12,2017-11-20 02:02:35,9,0.0,-0.01,0.0,0.0,1.91
13,2017-11-20 02:02:36,9,0.0,-0.01,0.0,0.0,1.91
14,2017-11-20 02:13:41,9,0.0,-0.01,0.0,14.5,0.99
15,2017-11-20 02:13:42,9,0.0,-0.01,0.0,14.5,1.07
16,2017-11-20 02:13:43,9,0.0,0.0,0.0,14.8,1.13
17,2017-11-20 02:13:44,9,0.0,-0.03,0.0,15.1,1.4
18,2017-11-20 02:13:45,9,0.0,0.01,0.0,15.5,1.39
19,2017-11-20 02:24:52,9,0.0,-0.02,0.0,4.2,1.72
20,2017-11-20 02:24:53,9,0.0,-0.01,0.0,4.3,1.95
21,2017-11-20 02:24:54,9,0.0,0.01,0.0,4.2,2.05
22,2017-11-20 02:24:55,9,0.0,-0.02,0.0,4.0,1.74
23,2017-11-20 02:24:56,9,0.0,-0.02,0.0,4.3,1.74
24,2017-11-20 02:36:01,9,0.0,-0.02,0.0,1.8,1.74
25,2017-11-20 02:36:02,9,0.0,-0.01,0.0,1.7,1.83
26,2017-11-20 02:36:03,9,0.0,-0.01,0.0,1.3,1.63
27,2017-11-20 02:36:04,9,0.0,0.0,0.0,1.1,1.69
28,2017-11-20 02:36:05,9,0.0,0.01,0.0,0.9,1.72
29,2017-11-20 02:47:10,9,0.0,0.0,0.0,0.0,1.7
30,2017-11-20 02:47:11,9,0.0,-0.01,0.0,0.3,1.67
31,2017-11-20 02:47:12,9,0.0,0.0,0.0,0.3,1.59
32,2017-11-20 02:47:13,9,0.0,-0.01,0.0,0.3,1.48
33,2017-11-20 02:47:14,9,0.0,-0.03,0.0,0.2,1.43
34,2017-11-20 02:58:19,9,0.0,0.0,0.0,2.6,2.8
35,2017-11-20 02:58:20,9,0.0,-0.01,0.0,2.2,2.86
36,2017-11-20 02:58:21,9,0.0,0.0,0.0,1.7,2.84
37,2017-11-20 02:58:22,9,0.0,-0.02,0.0,1.0,2.82
38,2017-11-20 03:09:28,9,0.0,0.0,0.0,1.0,2.03
39,2017-11-20 03:09:29,9,0.0,-0.01,0.0,1.0,1.87
40,2017-11-20 03:09:31,9,0.0,-0.02,0.0,1.2,2.18
41,2017-11-20 03:09:32,9,0.0,-0.02,0.0,1.2,2.29
42,2017-11-20 03:20:37,9,0.0,-0.03,0.0,0.6,2.61
43,2017-11-20 03:20:38,9,0.0,-0.02,0.0,0.7,2.58
44,2017-11-20 03:20:39,9,0.0,-0.02,0.0,0.7,2.51
45,2017-11-20 03:20:40,9,0.0,-0.01,0.0,0.8,2.42
46,2017-11-20 03:20:41,9,0.0,-0.01,0.0,0.8,2.43
47,2017-11-20 03:31:46,9,0.0,-0.02,0.0,0.0,1.85
48,2017-11-20 03:31:47,9,0.0,-0.01,0.0,0.0,1.83
49,2017-11-20 03:31:48,9,0.0,-0.01,0.0,0.0,1.72
50,2017-11-20 03:31:49,9,0.0,-0.01,0.0,0.0,1.69
51,2017-11-20 03:31:50,9,0.0,-0.01,0.0,0.0,1.73
52,2017-11-20 03:42:56,9,0.0,-0.01,0.0,1.0,2.11
53,2017-11-20 03:42:57,9,0.0,-0.03,0.0,1.0,2.07
54,2017-11-20 03:42:58,9,0.0,0.0,0.0,1.2,2.09
55,2017-11-20 03:42:59,9,0.0,-0.02,0.0,1.8,2.17
56,2017-11-20 03:43:00,9,0.0,0.01,0.0,1.9,2.24
57,2017-11-20 03:54:06,9,0.0,-0.02,0.0,0.0,2.65
58,2017-11-20 03:54:07,9,0.0,-0.01,0.0,0.0,2.8
59,2017-11-20 03:54:08,9,0.0,0.0,0.0,0.0,2.82
60,2017-11-20 03:54:10,9,0.0,-0.02,0.0,0.0,2.77
61,2017-11-20 04:05:16,9,0.0,-0.01,0.0,4.6,2.75
62,2017-11-20 04:05:17,9,0.0,-0.02,0.0,4.6,2.8
63,2017-11-20 04:05:18,9,0.0,0.0,0.0,4.6,3.02
64,2017-11-20 04:05:19,9,0.0,-0.02,0.0,4.6,3.05
65,2017-11-20 04:05:20,9,0.0,0.0,0.0,4.5,2.94
66,2017-11-20 04:16:27,9,0.0,-0.05,0.0,0.0,4.68
67,2017-11-20 04:16:28,9,0.0,-0.01,0.0,0.8,4.86
68,2017-11-20 04:16:29,9,0.0,-0.06,0.0,0.0,4.59
69,2017-11-20 04:16:30,9,0.0,-0.02,0.0,0.0,4.62
70,2017-11-20 04:27:37,3,0.0,-0.05,76.5,1035.3,3.26
71,2017-11-20 04:27:38,3,0.0,0.03,81.7,1036.5,3.3
72,2017-11-20 04:27:39,3,0.0,0.02,82.7,1036.3,3.39
73,2017-11-20 04:27:40,3,0.0,0.02,79.0,1038.4,3.31
74,2017-11-20 04:27:41,3,0.0,-0.01,80.3,1038.6,3.09
75,2017-11-20 04:38:47,9,0.0,0.0,0.0,0.0,2.89
76,2017-11-20 04:38:48,9,0.0,-0.02,0.0,0.0,3.2
77,2017-11-20 04:38:49,9,0.0,0.0,0.0,1.1,3.15
78,2017-11-20 04:38:50,9,0.0,-0.03,0.0,0.7,3.12
79,2017-11-20 04:38:51,9,0.0,-0.02,0.0,1.0,2.99
80,2017-11-20 04:49:59,2,0.0,0.01,0.0,12.8,3.38
81,2017-11-20 04:50:00,2,0.0,-0.02,0.0,12.5,3.67
82,2017-11-20 04:50:01,2,0.0,0.02,0.0,13.0,3.74
