,real_time,WT_Runcode,bYawCCW_RemCOM,bYawCW_RemCOM,iCableTwistTotal,iGenPower,iGenSpeed,iNacellePositionTotal,iTurbineOperationMode,iVaneDiiection,iWindSpeed,iYPLevel
0,2017-11-16 03:03:29,3,0,0,-298,277,1105,-266,20,-3.39,4.44,0
1,2017-11-16 03:03:30,3,0,0,-298,280,1105,-266,20,-4.65,4.62,0
2,2017-11-16 03:03:32,3,0,0,-298,289,1103,-266,20,0.42,4.71,0
3,2017-11-16 03:03:33,3,0,0,-298,289,1102,-266,20,-2.21,4.68,0
4,2017-11-16 03:03:34,3,0,0,-298,289,1102,-266,20,-2.21,4.68,0
5,2017-11-16 03:03:35,3,0,0,-298,278,1099,-266,20,-3.34,4.86,0
6,2017-11-16 03:03:37,3,0,0,-298,267,1105,-266,20,-3.82,5.27,0
7,2017-11-16 03:03:38,3,0,0,-298,267,1105,-266,20,-3.82,5.27,0
8,2017-11-16 03:03:39,3,0,0,-298,275,1096,-266,20,-7.42,5.03,0
9,2017-11-16 03:03:40,3,0,0,-298,258,1098,-266,20,-7.07,4.89,0
10,2017-11-16 03:03:41,3,0,0,-298,253,1096,-266,20,-6.9,4.93,0
11,2017-11-16 03:03:42,3,0,0,-298,253,1096,-266,20,-6.9,4.93,0
12,2017-11-16 03:03:43,3,0,0,-298,253,1095,-266,20,-7.33,4.72,0
13,2017-11-16 03:03:44,3,0,0,-298,252,1096,-266,20,-6.73,4.66,0
14,2017-11-16 03:03:45,3,0,0,-298,252,1096,-266,20,-6.73,4.66,0
15,2017-11-16 03:03:46,3,0,0,-298,242,1096,-266,20,-10.96,4.57,0
16,2017-11-16 03:03:47,3,0,0,-298,245,1098,-266,20,-10.16,4.71,0
17,2017-11-16 03:03:48,3,0,0,-298,237,1098,-266,20,-9.19,4.3,0
18,2017-11-16 03:03:49,3,0,0,-298,237,1098,-266,20,-9.19,4.3,0
19,2017-11-16 03:03:50,3,0,0,-298,246,1098,-266,20,-1.44,4.48,0
20,2017-11-16 03:03:51,3,0,0,-298,236,1098,-266,20,2.81,4.8,0
21,2017-11-16 03:03:52,3,0,0,-298,238,1098,-266,20,-4.33,4.64,0
22,2017-11-16 03:03:53,3,0,0,-298,238,1098,-266,20,-4.33,4.64,0
23,2017-11-16 03:03:54,3,0,0,-298,244,1102,-266,20,-2.49,4.44,0
24,2017-11-16 03:03:56,3,0,0,-298,243,1102,-266,20,-0.35,4.31,0
25,2017-11-16 03:03:57,3,0,0,-298,243,1102,-266,20,-0.35,4.31,0
26,2017-11-16 03:03:58,3,0,0,-298,246,1102,-266,20,-3.79,4.28,0
27,2017-11-16 03:04:00,3,0,0,-298,250,1102,-266,20,-3.31,4.26,0
28,2017-11-16 03:04:01,3,0,0,-298,253,1102,-266,20,3.43,4.45,0
29,2017-11-16 03:04:02,3,0,0,-298,246,1102,-266,20,-3.96,4.52,0
30,2017-11-16 03:04:03,3,0,0,-298,259,1103,-266,20,1.64,4.84,0
31,2017-11-16 03:04:04,3,0,0,-298,259,1103,-266,20,1.64,4.84,0
32,2017-11-16 03:04:05,3,0,0,-298,259,1102,-266,20,-2.65,4.38,0
33,2017-11-16 03:04:06,3,0,0,-298,251,1102,-266,20,2.38,4.45,0
34,2017-11-16 03:04:07,3,0,0,-298,262,1100,-266,20,-6.84,4.24,0
35,2017-11-16 03:04:09,3,0,0,-298,251,1099,-266,20,-1.2,4.3,0
36,2017-11-16 03:04:10,3,0,0,-298,256,1100,-266,20,-2.53,4.01,0
37,2017-11-16 03:04:11,3,0,0,-298,256,1100,-266,20,-2.53,4.01,0
