,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-15 03:56:05,3,0.0,0.01,13.8,990.4,2.09
1,2017-11-15 03:56:06,3,0.0,0.0,13.8,989.8,2.02
2,2017-11-15 03:56:07,3,0.0,0.01,14.8,989.2,1.96
3,2017-11-15 03:56:08,3,0.0,-0.03,16.6,990.5,2.0
4,2017-11-15 03:56:09,3,0.0,0.05,12.3,990.5,2.05
5,2017-11-15 03:56:10,3,0.0,-0.02,15.7,990.3,2.03
6,2017-11-15 03:56:11,3,0.0,0.01,17.5,989.3,2.02
7,2017-11-15 03:56:12,3,0.0,-0.02,16.2,989.5,2.16
8,2017-11-15 03:56:13,3,0.0,0.06,14.1,988.3,1.98
9,2017-11-15 03:56:14,3,0.0,-0.02,14.6,989.6,2.06
10,2017-11-15 03:56:15,3,0.0,0.0,13.5,989.6,1.87
11,2017-11-15 03:56:16,3,0.0,0.03,11.8,989.7,1.92
12,2017-11-15 03:56:17,3,0.0,-0.02,12.2,989.6,2.02
13,2017-11-15 03:56:18,3,0.0,-0.01,12.9,988.1,1.91
14,2017-11-15 03:56:19,3,0.0,-0.02,12.9,987.9,1.96
15,2017-11-15 03:56:20,3,0.0,0.03,10.1,987.5,2.02
16,2017-11-15 03:56:21,3,0.0,0.02,10.1,988.5,2.28
17,2017-11-15 03:56:22,3,0.0,0.06,9.9,988.8,2.32
18,2017-11-15 03:56:23,3,0.0,-0.05,12.0,988.8,2.36
19,2017-11-15 03:56:24,3,0.0,0.02,11.8,987.8,2.36
20,2017-11-15 03:56:25,3,0.0,-0.03,11.0,987.6,2.32
21,2017-11-15 03:56:27,3,0.0,-0.02,12.1,988.5,2.38
22,2017-11-15 03:56:28,3,0.0,0.0,14.3,988.5,2.35
23,2017-11-15 03:56:29,3,0.0,-0.01,15.0,988.8,2.36
24,2017-11-15 03:56:30,3,0.0,0.03,12.9,987.4,2.28
25,2017-11-15 03:56:31,3,0.0,-0.05,11.0,988.0,2.32
26,2017-11-15 03:56:32,3,0.0,-0.03,8.3,987.7,2.51
27,2017-11-15 03:56:33,3,0.0,0.02,9.9,987.6,2.55
28,2017-11-15 03:56:34,3,0.0,-0.01,10.5,988.6,2.57
29,2017-11-15 03:56:35,3,0.0,0.02,10.8,989.5,2.5
30,2017-11-15 03:56:36,3,0.0,-0.03,12.1,989.1,2.31
31,2017-11-15 03:56:37,3,0.0,0.01,11.8,987.8,2.39
32,2017-11-15 03:56:38,3,0.0,-0.01,9.9,988.3,2.57
33,2017-11-15 03:56:39,3,0.0,0.09,11.2,988.3,2.55
34,2017-11-15 03:56:40,3,0.0,-0.03,12.6,989.2,2.44
35,2017-11-15 03:56:41,3,0.0,0.0,11.9,989.0,2.25
36,2017-11-15 03:56:42,3,0.0,-0.01,13.8,989.4,2.33
37,2017-11-15 03:56:43,3,0.0,0.03,12.8,988.5,2.18
38,2017-11-15 03:56:44,3,0.0,-0.06,12.4,989.1,2.25
39,2017-11-15 03:56:45,3,0.0,-0.01,12.1,988.2,2.22
40,2017-11-15 03:56:46,3,0.0,0.06,16.1,990.2,2.5
41,2017-11-15 03:56:47,3,0.0,0.03,16.2,989.7,2.44
42,2017-11-15 03:56:48,3,0.0,-0.01,14.7,990.2,2.33
43,2017-11-15 03:56:49,3,0.0,-0.02,14.4,989.4,2.21
44,2017-11-15 03:56:50,3,0.0,-0.03,12.6,989.4,2.02
45,2017-11-15 03:56:51,3,0.0,0.02,13.3,989.1,2.07
