,real_time,WT_Runcode,iGenPower,iGenSpeed,iTemp1GearOil_1sec,iTempGearBearDE_1sec,iTempGearBearNDE_1sec,iTempNacelle_1sec,iWindSpeed
63,2017-11-15 08:14:03,3,2055,1749,57.9,59.4,62.4,16.5,11.95
64,2017-11-15 08:14:04,3,2046,1749,57.9,59.3,62.4,16.5,11.24
65,2017-11-15 08:14:05,3,2041,1748,57.9,59.3,62.4,16.5,11.69
66,2017-11-15 08:14:06,3,2024,1748,57.9,59.3,62.4,16.5,12.1
67,2017-11-15 08:14:07,3,2027,1748,57.9,59.3,62.4,16.5,11.21
68,2017-11-15 08:14:08,3,2030,1749,57.9,59.3,62.4,16.5,11.12
69,2017-11-15 08:14:09,3,2035,1747,57.9,59.3,62.4,16.5,11.33
70,2017-11-15 08:14:10,3,2030,1748,57.9,59.3,62.4,16.5,10.77
71,2017-11-15 08:14:11,3,2024,1748,57.9,59.3,62.4,16.5,10.86
72,2017-11-15 08:14:12,3,2030,1748,57.9,59.3,62.4,16.5,11.39
73,2017-11-15 08:14:13,3,2038,1748,57.9,59.3,62.5,16.5,12.17
74,2017-11-15 08:14:14,3,2039,1750,57.9,59.3,62.5,16.5,12.51
75,2017-11-15 08:14:15,3,2051,1751,57.9,59.3,62.4,16.5,12.04
76,2017-11-15 08:14:16,3,2059,1755,57.9,59.3,62.4,16.5,10.18
77,2017-11-15 08:14:17,3,2050,1756,57.9,59.3,62.4,16.5,10.9
78,2017-11-15 08:14:18,3,2057,1761,57.9,59.3,62.4,16.5,12.16
79,2017-11-15 08:14:19,3,2057,1763,57.9,59.3,62.4,16.5,11.34
80,2017-11-15 08:14:20,3,2056,1764,57.9,59.3,62.4,16.5,9.92
81,2017-11-15 08:14:21,3,2053,1764,57.9,59.3,62.4,16.5,11.29
82,2017-11-15 08:14:22,3,2055,1765,57.9,59.3,62.4,16.5,11.35
83,2017-11-15 08:14:23,3,2048,1759,57.9,59.3,62.4,16.5,9.94
84,2017-11-15 08:14:24,3,2046,1758,57.9,59.3,62.4,16.5,10.88
85,2017-11-15 08:14:25,3,2048,1753,57.9,59.3,62.4,16.5,11.66
86,2017-11-15 08:14:26,3,2043,1746,57.9,59.3,62.4,16.5,11.78
87,2017-11-15 08:14:27,3,2038,1739,57.9,59.3,62.4,16.5,11.33
88,2017-11-15 08:14:28,3,2032,1735,57.9,59.3,62.4,16.5,11.41
89,2017-11-15 08:14:29,3,1978,1732,57.9,59.3,62.4,16.5,10.98
90,2017-11-15 08:14:30,3,1936,1731,57.9,59.3,62.4,16.5,11.09
91,2017-11-15 08:14:31,3,1930,1734,58.0,59.3,62.4,16.5,11.05
92,2017-11-15 08:14:32,3,1946,1737,58.0,59.3,62.4,16.5,11.68
93,2017-11-15 08:14:33,3,1970,1739,58.0,59.3,62.4,16.5,10.45
94,2017-11-15 08:14:34,3,2001,1744,57.9,59.3,62.4,16.5,11.57
95,2017-11-15 08:14:35,3,2017,1745,57.9,59.3,62.4,16.5,10.48
96,2017-11-15 08:14:36,3,2028,1746,57.9,59.3,62.4,16.5,10.72
97,2017-11-15 08:14:37,3,2043,1746,57.9,59.3,62.4,16.5,10.83
